apitoiement	compassion	
aplati	flat	
apocalyptique	apocalyptic	
apocryphe	apocryphal	
apogée	acme	
apollon	apollo	
apologie	apology	
apoplexie	fit	
apostat	apostate	
apostolat	apostleship	
apostolique	apostolic	
apothicaire	chemist	
apothéose	apotheosis	
apparant	visible	
apparaître	appear	
appareil	apparatus	
apparemment	apparently	
apparence	appearance	
apparier	couple	
apparition	ghost	A
appartement	apartment	
appeler	call	
appendice	accessory	
appendicite	appendicitis	
applaudir	acclaim	
application	industry	A
appliquer	attach	
appliqué	diligent	
appointements	salary	
apporter	bring	
apposer	attach	
apprendre	teach	
apprentissage	apprenticeship	
appris	acquired	
apprivoiser	tame	
apprivoisé	tame	
approbation	acclaim	A
approche	approach	
approuver	approve	
apprécier	esteem	
appréhension	fear	
apprêter	finish	
appui	prop	
appuyer	lean	
appât	attraction	
appâter	attract	
appétit	appetite	
après	after	
aptitude	predisposition	A
apéritif	dram	
apéro	dram	
apôtre	apostle	
aquatique	aquatic	
aqueduc	aqueduct	
arabe	arab	
arabie	arabia	
arabique	arabian	
arachide	peanut	
arack	rack	
araignée	spider	
arbitraire	arbitrary	
arbitre	arbiter	
arbousier	arbutus	
arbre	tree	
arbrisseau	bush	
arbuste	bush	
arcade	arch	A
arcadie	arcadia	
arcane	secret	A
archange	archangel	
archaïsme	archaism	
archevêque	archbishop	
archiduc	archduke	
archiduché	archduchy	
archimède	archimedes	
archipel	archipelago	
architecte	architect	
architectonique	architectonic	
architectural	architectonic	A
archiviste	archivist	
archéologie	archaeology	
archéologique	archaeological	
archéologue	archaeologist	
arctique	arctic	
ardant	ablaze	
ardeur	glow	
argent	silver	A
argentin	argentine	
argentine	argentina	A
argile	clay	
aria	air	A
ariane	ariadne	
aristo	aristocrat	
aristocrate	aristocrat	
aristocratie	aristocracy	
aristocratique	aristocratic	
aristote	aristotle	
arithmétique	arithmetic	
arlequin	buffoon	
arme	weapon	
armer	arm	
armoire	cabinet	A
armorique	armorica	
armure	armour	A
armée	army	
arménie	armenia	
arménien	armenian	
aromatique	aromatic	
aronde	swallow	
arracher	eradicate	
arrangement	accommodation	A
arranger	arrange	A
arrestation	apprehension	
arrimer	stow	
arrimeur	stevedore	
arrivage	arrival	
arriver	happen	
arrivée	arrival	
arrière	autumn	
arrondir	round	
arrondissement	district	
arroser	irrigate	
arrêt	decision	
arrêter	arrest	
arsenal	armoury	A
arthrite	arthritis	
artichaut	artichoke	
articulation	joint	A
artifice	subterfuge	A
artificiel	affected	
artificieux	clever	
artillerie	artillery	
artilleur	artilleryman	
artiste	artist	A
artère	artery	
artériosclérose	arteriosclerosis	
artésien	artesian	
aryen	aryan	
arène	arena	
arête	coping	
arôme	aroma	
as	ace	A
asbeste	asbestos	
ascenseur	elevator	
asiate	asian	
asiatique	asian	
asie	asia	
asile	asylum	
aspect	appearance	A
asperge	asparagus	
asphalte	asphalt	
asphalter	asphalt	
asphodèle	asphodel	
aspirer	aspire	
aspirine	aspirin	
assaillir	assault	
assainir	cure	
assaisonner	spice	
assassiner	murder	
assaut	access	
assemblée	assembly	
assertion	contention	A
assez	enough	
assidu	diligent	
assiduité	diligence	
assiette	plate	
assigner	assign	A
assimiler	assimilate	
assister	abet	
assièger	besiege	
associer	connect	
assomption	assumption	
assouplir	soften	
assurance	insurance	A
assurer	insure	A
assureur	insurer	
assuré	certain	
assurément	certainly	
assyrie	assyria	
assyrien	assyrian	
asthmatique	asthmatic	
asthme	asthma	
astral	sideral	A
astrologie	astrology	
astrologue	astrologer	
astronaute	astronaut	
astronome	astronomer	
astronomie	astronomy	
astronomique	astronomic	
astucieux	clever	
asturies	asturias	
astérisque	asterisk	
astéroïde	asteroid	
asymétrique	asymmetric	
atabasca	athabasca	
atavisme	atavism	
athlète	athlete	
athlétique	athletic	
athlétisme	athletics	
athènes	athena	
athée	atheist	
athéisme	atheism	
athénien	athenian	
atlantique	atlantean	
atmosphère	agreement	
atmosphèrique	atmospheric	
atome	atom	
atomique	atomic	
atout	trump	
atroce	cruel	
atrocité	abhorrence	
atrophie	atrophy	
attachant	attractive	
attachement	adherence	A
attacher	attach	
attaché	affectionate	
attaquant	aggressor	
attaque	access	
attaquer	assault	
atteindre	accomplish	
atteler	harness	
